date,platform,sentiment,keyword,share_of_voice,influencer,engagement
2024-01-22,Facebook,Neutral,#bad,64,Sean Hartman,570
2024-05-07,Facebook,Neutral,product,18,Lauren Johnson,444
2024-04-07,Facebook,Neutral,service,66,Margaret Cooke,926
2024-03-12,Facebook,Negative,#terrible,13,Kevin Jackson,278
2024-04-17,Facebook,Positive,product,59,Alexis Norman,484
2024-03-30,Twitter,Neutral,product,88,Cameron Jones,460
2024-04-15,Facebook,Positive,experience,25,Calvin Lambert,75
2024-01-09,Facebook,Negative,#terrible,44,Andrew Woods,162
2024-03-04,Facebook,Negative,#terrible,33,Mr. Stephen Clark,543
2024-04-30,Twitter,Positive,#terrible,48,Kevin Davis,117
2024-04-03,Facebook,Neutral,#bad,99,Jason Ball,325
2024-02-26,LinkedIn,Neutral,experience,70,Christine Cole,540
2024-03-09,Facebook,Negative,product,70,Julie Walker,102
2024-03-28,Instagram,Negative,service,89,David Rubio DVM,595
2024-01-21,Instagram,Neutral,service,98,Michelle Jones,470
2024-04-26,LinkedIn,Positive,#terrible,62,Maureen Adkins,339
2024-04-02,Instagram,Positive,product,20,Stephanie Torres,740
2024-05-14,LinkedIn,Neutral,#terrible,74,Eric Carter,609
2024-03-10,Twitter,Positive,#bad,15,Diana Flores,488
2024-05-02,Facebook,Negative,#bad,60,Katherine Duncan,829
2024-03-09,LinkedIn,Neutral,#good,67,Eric Henderson,15
2024-03-01,Facebook,Positive,#okay,7,Steven Cherry,383
2024-01-05,Twitter,Neutral,#great,7,Robin Ward,772
2024-05-04,LinkedIn,Positive,#okay,80,Mrs. Kathryn Mason,999
2024-02-12,Facebook,Positive,experience,90,Jennifer Carlson,793
2024-02-23,Facebook,Positive,service,22,Dawn Trujillo,797
2024-04-04,Twitter,Negative,#okay,29,Miguel Lewis,457
2024-04-06,Instagram,Positive,#good,15,Jennifer Maynard,323
2024-01-07,Instagram,Neutral,experience,39,Dennis Walters,282
2024-03-26,Twitter,Negative,service,32,Taylor Valencia,330
2024-04-13,Twitter,Negative,#good,85,Sean Thomas,351
2024-05-08,LinkedIn,Neutral,#bad,48,Ricky Cruz,123
2024-04-15,Twitter,Neutral,product,32,Bradley Rivas,257
2024-01-18,Instagram,Neutral,#awesome,17,Heather Hernandez,725
2024-03-14,Facebook,Positive,feedback,89,Kevin Castro,636
2024-01-25,LinkedIn,Neutral,experience,27,Rebekah Owens,743
2024-04-29,Facebook,Positive,#great,8,Angelica Bush,340
2024-02-01,Instagram,Negative,#terrible,90,Francis Collins,995
2024-01-08,LinkedIn,Negative,#great,11,William Jimenez,10
2024-02-03,Instagram,Negative,#great,53,Aaron Thomas,657
2024-03-21,Facebook,Negative,#okay,41,Jaclyn Stevens,512
2024-04-10,Instagram,Positive,#good,19,Carol Gaines,44
2024-01-21,Instagram,Neutral,#good,24,Richard Andrews,314
2024-02-21,Twitter,Neutral,service,86,Kevin Jimenez,52
2024-03-16,Instagram,Negative,#good,20,Nancy Sanders,749
2024-02-04,Facebook,Positive,experience,76,James Flores,164
2024-03-22,Facebook,Neutral,product,60,Amy Anderson,769
2024-01-16,Twitter,Neutral,#good,7,John Hernandez,87
2024-02-28,Twitter,Neutral,#good,55,Melinda Hodges,956
2024-01-05,Facebook,Neutral,#awesome,35,Melinda Hester,308
2024-03-27,Instagram,Negative,#good,100,Luis Harrison,355
2024-02-15,Facebook,Negative,#bad,60,Ashley Barron,218
2024-04-06,LinkedIn,Negative,experience,74,Matthew Moore,829
2024-04-19,LinkedIn,Negative,product,63,Susan Valenzuela,930
2024-01-03,Twitter,Negative,feedback,77,Tommy Jackson,605
2024-03-25,LinkedIn,Neutral,#terrible,23,Christopher Harris,198
2024-04-26,Facebook,Negative,#great,87,Melissa Hanson,293
2024-04-27,Twitter,Neutral,#good,60,Timothy Hernandez,407
2024-04-14,Instagram,Neutral,experience,77,Sarah Hull,702
2024-04-13,LinkedIn,Neutral,#awesome,72,Linda Smith,153
2024-02-09,Twitter,Neutral,#bad,69,William Smith,656
2024-01-07,Instagram,Negative,product,88,Jessica Mcdowell,659
2024-04-18,Twitter,Neutral,product,77,Kristina Robinson,580
2024-01-25,Instagram,Negative,#okay,71,Timothy Leach,415
2024-01-29,Facebook,Neutral,feedback,96,Amanda Mitchell,111
2024-03-19,Facebook,Negative,experience,34,Cory Washington,775
2024-03-27,Facebook,Neutral,#okay,55,Mathew Walker,800
2024-01-04,Twitter,Neutral,#bad,98,Michael Delgado,213
2024-01-19,Twitter,Positive,#terrible,22,Anita Nelson,428
2024-04-12,Instagram,Neutral,product,22,Courtney Garcia,955
2024-03-11,Instagram,Positive,product,9,Katie Williams,664
2024-03-31,Instagram,Negative,feedback,42,Nathan Ryan,307
2024-03-01,Facebook,Negative,feedback,73,Tracy Hanna,375
2024-05-22,Twitter,Negative,feedback,66,Ellen Harris,882
2024-02-13,Facebook,Neutral,service,31,Brian Bryant,652
2024-03-08,Twitter,Negative,#awesome,97,Michael Marquez DVM,124
2024-04-10,Twitter,Neutral,feedback,13,Jacqueline Monroe,124
2024-05-21,LinkedIn,Neutral,#bad,73,David Riley,595
2024-02-15,Twitter,Neutral,#good,3,Tracy Hurst,177
2024-01-29,LinkedIn,Positive,feedback,42,Rachel Ashley,222
2024-01-09,Twitter,Negative,experience,11,Robert Flores,535
2024-05-21,Facebook,Neutral,#good,35,Monique King,317
2024-02-05,Twitter,Neutral,#terrible,76,Debbie Benitez,57
2024-01-19,LinkedIn,Negative,#good,86,Alice Mitchell,416
2024-05-02,Instagram,Positive,#terrible,97,Zachary Carpenter,87
2024-03-12,Instagram,Negative,product,46,William Walsh,301
2024-01-18,Twitter,Positive,#great,19,Jonathon Randall,122
2024-03-31,Twitter,Neutral,#terrible,21,Nicholas Kelly,86
2024-04-07,Instagram,Positive,service,97,Daniel Herring,757
2024-03-08,Instagram,Negative,experience,11,Elizabeth Stewart,286
2024-02-14,Instagram,Negative,feedback,17,Kelly Strickland,108
2024-05-21,LinkedIn,Positive,feedback,94,Gavin Webster,301
2024-03-31,Twitter,Negative,#okay,19,Melinda Perez,172
2024-01-11,Instagram,Negative,experience,10,Jeremy Byrd,232
2024-05-09,LinkedIn,Negative,product,7,Michael Davis,364
2024-03-30,Instagram,Positive,product,10,Brittney Perry,870
2024-01-25,LinkedIn,Positive,#okay,46,Jennifer Burgess,440
2024-03-14,Twitter,Positive,#bad,40,Gerald Morrison,207
2024-02-03,LinkedIn,Negative,experience,5,Michael Davis,997
2024-03-04,Instagram,Neutral,product,38,Jennifer Cameron,274
2024-04-17,Facebook,Positive,#good,12,Maria Pena,403
2024-03-21,LinkedIn,Negative,feedback,86,Tristan Clark,604
2024-03-03,Facebook,Negative,product,2,Brenda Allen,117
2024-03-20,Facebook,Negative,service,26,Ashley Vasquez,740
2024-01-23,Instagram,Neutral,#terrible,74,Terry Torres,211
2024-04-30,Instagram,Negative,#bad,12,Angel Thompson,895
2024-04-09,Twitter,Negative,#awesome,33,William Fisher,757
2024-01-08,Twitter,Neutral,#good,11,Regina Johnson,341
2024-03-15,Twitter,Negative,#bad,24,Kyle Warren,860
2024-04-27,Facebook,Negative,#good,36,Daniel Townsend,478
2024-01-08,LinkedIn,Positive,service,1,Lisa Wilson,862
